artist_names,track_name,duration,source,mode,time_signature,key,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,target
"Eminem, Jessie Reyez",Nice Guy (with Jessie Reyez),2.5133666666666667,Aftermath,Major,4,8.0,0.65,0.639,0.458,0.0942,0.0,0.135,0.563,-5.962,139.226,1
Post Malone,Over Now,4.11645,Republic Records,Minor,4,4.0,0.569,0.777,0.0834,0.139,0.0,0.132,0.181,-4.041,164.027,1
"Zedd, Maren Morris, Grey",The Middle,3.078866666666667,UMGRI Interscope,Major,4,7.0,0.753,0.657,0.0449,0.171,0.0,0.112,0.437,-3.061,107.01,0
Fifth Harmony,Angel,3.1573333333333333,Syco Music/Epic,Minor,4,1.0,0.738,0.525,0.0371,0.00339,0.0,0.351,0.13,-6.298,124.008,0
"Lauv, Anne-Marie","fuck, i'm lonely",3.3162166666666666,Lauv,Major,4,9.0,0.809,0.547,0.0609,0.46,0.0,0.0543,0.717,-7.304,95.012,0
Bad Bunny,TRELLAS,2.627883333333333,Rimas Entertainment LLC,Major,4,2.0,0.43,0.412,0.0281,0.2,0.0,0.324,0.0508,-5.372,90.872,0
"Amaarae, Kali Uchis, Moliy",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),3.412733333333333,0207 Def Jam,Minor,4,1.0,0.87,0.523,0.0602,0.433,2.07e-05,0.113,0.319,-8.052,110.02,0
The Weeknd,Call Out My Name,3.806216666666667,Universal Republic Records,Major,3,1.0,0.461,0.593,0.0356,0.17,0.0,0.307,0.175,-4.954,134.17,1
"TINI, Sebastian Yatra",Oye,2.8836833333333334,5020 Records,Minor,4,7.0,0.683,0.51,0.0646,0.447,0.0,0.175,0.255,-7.894,95.08,0
"Khalid, John Mayer",Outta My Head (with John Mayer),2.9511166666666666,"Right Hand Music Group, LLC/RCA Records",Major,4,0.0,0.729,0.545,0.0316,0.0174,0.000274,0.369,0.514,-7.818,103.012,0
"Justin Timberlake, Chris Stapleton",Say Something (feat. Chris Stapleton),4.648216666666666,RCA Records Label,Major,4,10.0,0.707,0.632,0.0789,0.103,1.09e-05,0.0841,0.372,-7.031,97.04,0
Adele,Cry Your Heart Out,4.2546333333333335,Columbia,Major,4,7.0,0.756,0.713,0.102,0.523,3.35e-06,0.248,0.59,-6.917,125.064,0
Taylor Swift,Labyrinth,4.1327,Taylor Swift,Major,4,0.0,0.406,0.306,0.0517,0.785,0.488,0.122,0.122,-15.48,110.014,0
Megan Thee Stallion,Body,2.8511166666666665,300 Entertainment,Minor,4,8.0,0.914,0.732,0.241,0.0166,0.0,0.107,0.469,-6.1,94.066,0
"Rauw Alejandro, Anuel AA, NATTI NATASHA, Farruko, Lunay",Fantasias - Remix,4.454033333333333,"(SME US Latin) Duars Entertainment, Corp. (2)",Major,4,1.0,0.816,0.72,0.0684,0.206,0.0,0.277,0.78,-4.454,94.004,0
Gaullin,Moonlight,2.88445,Columbia/B1 Recordings,Minor,4,10.0,0.813,0.761,0.085,0.0529,0.0119,0.337,0.29,-5.687,124.957,0
"Metro Boomin, Coi Leray",Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),3.157783333333333,Republic Records,Major,4,9.0,0.775,0.298,0.0517,0.211,0.000233,0.132,0.0472,-9.351,120.091,0
Future,I'M DAT N****,4.530666666666667,Epic/Freebandz,Major,4,2.0,0.911,0.573,0.163,0.0112,5.83e-05,0.131,0.145,-5.573,144.026,0
Zara Larsson,Ain't My Fault,3.73385,Epic/Record Company TEN,Minor,4,6.0,0.576,0.782,0.0296,0.00778,0.0,0.285,0.355,-4.825,141.153,1
Logic,The Return,4.202216666666667,Def Jam Recordings,Minor,4,11.0,0.8,0.956,0.178,0.113,0.0,0.107,0.65,-4.432,90.025,0
Ashnikko,Daisy,2.44205,Parlophone UK,Major,4,8.0,0.834,0.663,0.133,0.235,0.0,0.372,0.774,-6.143,121.876,0
"Drake, SZA",Slime You Out (feat. SZA),5.17485,OVO/Republic,Minor,3,5.0,0.483,0.408,0.0502,0.508,0.0,0.259,0.105,-9.243,88.88,0
"Taylor Swift, Bon Iver",evermore (feat. Bon Iver),5.06845,Taylor Swift,Major,5,1.0,0.395,0.27,0.0309,0.937,0.00249,0.111,0.314,-10.672,120.94,1
"Carnage, Lil Pump",i Shyne,2.55585,BMG Rights Management (US) LLC,Major,4,8.0,0.776,0.732,0.081,0.175,0.0,0.364,0.383,-3.719,144.076,1
Trippie Redd,Love Scars 3,2.15715,"TenThousand Projects, LLC",Major,4,8.0,0.544,0.524,0.0621,0.136,0.0,0.106,0.117,-7.914,81.982,0
Lil Uzi Vert,I Can Show You,2.0012666666666665,Generation Now/Atlantic,Minor,4,10.0,0.817,0.656,0.277,0.051,0.0,0.115,0.314,-7.086,139.915,1
"Metro Boomin, 21 Savage",10 Freaky Girls (with 21 Savage),3.47155,Republic Records,Minor,4,6.0,0.81,0.353,0.31,0.588,0.0,0.102,0.0727,-9.931,88.031,0
